iter	Passed	Remaining
823	1042	222
824	1043	221
825	1044	219
826	1044	218
827	1045	217
828	1046	215
829	1047	214
830	1047	213
831	1048	211
832	1049	210
833	1050	209
834	1050	207
835	1051	206
836	1052	204
837	1053	203
838	1053	202
839	1054	200
840	1055	199
841	1056	198
842	1056	196
843	1057	195
844	1058	194
845	1059	192
846	1059	191
847	1060	190
848	1061	188
849	1062	187
850	1062	186
851	1063	184
852	1064	183
853	1065	182
854	1065	180
855	1066	179
856	1067	178
857	1067	176
858	1068	175
859	1069	174
860	1070	172
861	1070	171
862	1071	170
863	1072	168
864	1073	167
865	1073	166
866	1074	164
867	1075	163
868	1076	162
869	1076	160
870	1077	159
871	1078	158
872	1079	156
873	1079	155
874	1080	154
875	1081	153
876	1082	151
877	1082	150
878	1083	149
879	1084	147
880	1084	146
881	1085	145
882	1086	143
883	1087	142
884	1087	141
885	1088	140
886	1089	138
887	1090	137
888	1090	136
889	1091	134
890	1092	133
891	1093	132
892	1094	131
893	1094	129
894	1095	128
895	1096	127
896	1097	125
897	1097	124
898	1098	123
899	1099	122
900	1100	120
901	1100	119
902	1101	118
903	1102	117
904	1103	115
905	1103	114
906	1104	113
907	1105	112
908	1106	110
909	1106	109
910	1107	108
911	1108	106
912	1109	105
913	1110	104
914	1111	103
915	1111	101
916	1112	100
917	1113	99
918	1114	98
919	1115	96
920	1115	95
921	1116	94
922	1117	93
923	1118	91
924	1119	90
925	1120	89
926	1121	88
927	1121	87
928	1123	85
929	1124	84
930	1125	83
931	1126	82
932	1127	80
933	1128	79
934	1128	78
935	1129	77
936	1130	76
937	1131	74
938	1131	73
939	1132	72
940	1133	71
941	1134	69
942	1134	68
943	1135	67
944	1136	66
945	1137	64
946	1137	63
947	1138	62
948	1139	61
949	1140	60
950	1141	58
951	1141	57
952	1142	56
953	1143	55
954	1144	53
955	1144	52
956	1145	51
957	1146	50
958	1147	49
959	1147	47
960	1148	46
961	1149	45
962	1150	44
963	1150	42
964	1151	41
965	1152	40
966	1153	39
967	1153	38
968	1154	36
969	1155	35
970	1156	34
971	1156	33
972	1157	32
973	1158	30
974	1159	29
975	1159	28
976	1160	27
977	1161	26
978	1162	24
979	1162	23
